City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Faya,SA,18.3851,42.4509,48.72,68,42,1.83
147,Ponnani,IN,10.767,75.9252,72.72,69,2,8.75
148,Banes,CU,20.9625,-75.7186,73.81,81,0,6.76
149,The Valley,AI,18.217,-63.0578,80.1,76,1,15.23
150,Najran,SA,17.4924,44.1277,54.25,51,4,2.24
151,Humaita,BR,-7.5061,-63.0208,73.9,97,97,2.35
152,Gauripur,IN,26.0835,89.9616,69.03,66,12,3.51
153,Port Shepstone,ZA,-30.7414,30.455,72.75,93,100,4.92
154,Buzmeyin,TM,38.0507,58.2056,47.39,46,77,4.07
155,Peno,RU,56.9262,32.7426,15.03,96,100,6.33
156,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,41,0,6.91
157,Windhoek,NA,-22.5594,17.0832,66.42,52,58,2.86
158,Placido De Castro,BR,-10.3353,-67.1856,75.63,87,100,2.15
159,Nushki,PK,29.5542,66.0215,44.67,26,0,1.19
160,Abonnema,NG,4.7084,6.7931,77.83,85,99,4.79
161,Keflavik,IS,64.0049,-22.5624,21.63,63,20,17.27
162,Carnarvon,AU,-24.8667,113.6333,80.82,55,0,10.56
163,Korla,CN,41.7597,86.1469,20.64,57,0,4.7
164,Ohrid,MK,41.1172,20.8019,52.75,86,95,7.81
165,New Waterford,US,40.8451,-80.6145,39.61,93,99,6.33
166,Aosta,IT,45.7667,7.4167,29.62,89,95,1.99
167,Novoalekseyevskaya,RU,44.8189,40.9339,41.16,82,99,5.26
168,Dhidhdhoo,MV,6.8833,73.1,81.59,73,6,14.72
169,Mogadishu,SO,2.0371,45.3438,76.21,82,0,13.13
170,Riyadh,SA,24.6877,46.7219,57.34,43,67,3.8
171,Turukhansk,RU,65.8167,87.9833,-0.09,90,100,16.89
172,Geraldton,AU,-28.7667,114.6,90.01,18,0,13.8
173,Rudiskes,LT,54.5167,24.8333,19.67,99,95,4.68
174,Kavaratti,IN,10.5669,72.642,81.73,69,0,8.21
175,Taltal,CL,-25.4,-70.4833,64.09,85,55,1.79
176,Antofagasta,CL,-23.65,-70.4,67.28,79,16,2.24
177,Taoudenni,ML,22.6783,-3.9836,73.11,31,0,9.62
178,Ponta Do Sol,PT,32.6667,-17.1,61.72,80,52,13.69
179,Camacupa,AO,-12.0167,17.4833,58.12,96,95,1.95
180,Mana,GF,5.6592,-53.7767,75.18,91,68,7.07
181,Mosquera,CO,4.7059,-74.2302,46.49,87,20,3.44
182,Odzak,BA,45.0111,18.3267,41.09,87,100,1.05
183,Mercedes,AR,-34.6515,-59.4307,66.78,54,0,9.48
184,Pisco,PE,-13.7,-76.2167,69.85,83,75,3.44
185,Hobyo,SO,5.3505,48.5268,77.77,70,83,15.46
186,Porto Santo,PT,33.072,-16.3415,62.98,63,40,17.27
187,Lahij,YE,13.1667,44.5833,66.61,78,61,3.42
188,Tessalit,ML,20.1986,1.0114,67.57,21,0,5.99
189,Puerto Colombia,CO,10.9878,-74.9547,80.69,82,40,17.76
190,Soverato,IT,38.685,16.5499,67.15,80,94,6.17
191,Uarini,BR,-2.99,-65.1083,74.86,90,87,2.3
192,Ewo,CG,-0.8725,14.8206,71.22,77,28,2.57
193,Kidal,ML,18.4411,1.4078,69.08,20,0,8.52
194,Pangnirtung,CA,66.1451,-65.7125,7.68,96,99,6.89
195,Oranjestad,AW,12.524,-70.027,80.91,83,20,17.27
196,Thinadhoo,MV,0.5333,72.9333,80.8,74,16,6.02
197,Estelle,US,29.8458,-90.1067,55.4,65,0,0.0
198,Palora,EC,-1.7,-77.9333,65.17,97,95,2.3
199,Umm Kaddadah,SD,13.6017,26.6876,62.26,35,100,13.98
200,Kautokeino,NO,69.0125,23.0412,9.97,95,100,3.04
201,Saint-Augustin,CA,51.226,-58.6502,28.58,77,16,14.12
202,Port-Gentil,GA,-0.7193,8.7815,80.58,77,99,8.57
203,Mazsalaca,LV,57.8633,25.0547,17.46,98,97,6.78
204,Torbay,CA,47.6666,-52.7314,38.57,96,100,25.01
205,Ashington,GB,50.9331,-0.3909,32.43,88,7,8.61
206,Ciudad Bolivar,VE,8.1222,-63.5497,76.51,78,31,10.94
207,Coruripe,BR,-10.1256,-36.1756,77.07,84,99,12.57
208,Kambove,CD,-10.8764,26.5969,60.01,93,100,0.51
209,Marand,IR,38.4329,45.7749,36.75,87,2,1.52
210,Urucui,BR,-7.2294,-44.5561,77.61,69,100,0.76
211,Mayahi,NE,13.9553,7.6712,65.59,17,85,10.38
212,Hofn,IS,64.2539,-15.2082,20.26,64,100,18.9
213,Ilulissat,GL,69.2167,-51.1,28.42,69,75,11.5
214,Opuwo,NA,-18.0607,13.84,66.24,76,50,2.77
215,Autazes,BR,-3.5797,-59.1306,76.73,78,29,0.92
216,Saint-Pierre,RE,-21.3393,55.4781,78.48,69,100,1.14
217,Iquique,CL,-20.2208,-70.1431,68.04,72,25,3.09
218,Srivardhan,IN,18.0333,73.0167,79.0,66,8,4.59
219,Harper,LR,4.375,-7.7169,77.47,84,25,5.79
220,Jawar,IN,23.0,76.5,67.98,55,97,4.0
221,La Palma,US,33.8464,-118.0467,57.94,68,100,3.44
222,Ozimek,PL,50.6794,18.2137,27.36,96,100,8.99
223,Langres,FR,47.8333,5.3333,23.2,89,100,9.44
224,Montlucon,FR,46.3333,2.6,29.7,98,100,5.41
225,Port Hawkesbury,CA,45.6169,-61.3485,39.18,90,85,11.01
226,Jaru,BR,-10.4389,-62.4664,73.85,92,99,1.95
227,Bathsheba,BB,13.2167,-59.5167,80.06,90,40,18.41
228,Biltine,TD,14.5333,20.9167,67.1,27,81,13.69
229,Takoradi,GH,4.8845,-1.7554,78.1,86,84,5.12
230,Durban,ZA,-29.8579,31.0292,74.01,93,91,1.99
231,Porbandar,IN,21.6422,69.6093,76.06,47,85,8.5
232,Padang,ID,-0.9492,100.3543,84.25,64,58,2.95
233,Saint Anthony,US,45.0205,-93.218,32.95,94,100,4.61
234,Nuuk,GL,64.1835,-51.7216,27.88,92,100,11.99
235,Kharitonovo,RU,61.4009,47.4978,14.38,91,100,8.23
236,Gagino,RU,55.2314,45.0339,22.39,90,100,14.97
237,Montes Claros,BR,-16.735,-43.8617,65.37,98,100,2.53
238,Yar-Sale,RU,66.8333,70.8333,10.65,93,100,13.73
239,Gusau,NG,12.1628,6.6614,69.6,17,100,9.26
240,San Juan,AR,-31.5375,-68.5364,78.94,20,0,8.01
241,Marsh Harbour,BS,26.5412,-77.0636,76.35,74,91,13.85
242,Meaux,FR,48.9167,3.0,27.09,83,29,6.55
243,Quelimane,MZ,-17.8786,36.8883,72.82,91,45,3.67
244,Paamiut,GL,61.994,-49.6678,21.6,72,98,6.04
245,Ugoofaaru,MV,5.6667,73.0,80.6,75,16,9.28
246,Porto Velho,BR,-8.7619,-63.9039,77.05,94,75,4.61
247,Shahdadkot,PK,27.8477,67.9055,62.19,31,0,2.82
248,Sisimiut,GL,66.9395,-53.6735,28.17,84,100,16.67
249,Miraflores,MX,19.2167,-98.8083,61.03,57,59,4.23
250,Lodwar,KE,3.1191,35.5973,78.15,56,2,3.44
251,Struga,MK,41.1781,20.6761,51.31,89,91,4.72
252,Mecca,SA,21.4267,39.8261,72.01,55,0,4.68
253,Jirkov,CZ,50.4998,13.4477,27.16,79,100,1.79
254,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,71.2,94,100,4.03
255,Karasjok,NO,69.4719,25.5112,19.78,92,100,7.99
256,Usinsk,RU,65.9939,57.5281,12.63,91,100,23.44
257,Puerto Leguizamo,CO,-0.1934,-74.7819,73.06,96,100,2.21
258,Mitsamiouli,KM,-11.3847,43.2844,79.79,80,84,8.88
259,Krasnoselkup,RU,65.7,82.4667,4.78,80,100,20.11
260,Yashkul,RU,46.1711,45.3435,32.22,80,100,6.38
261,Wilmington,US,34.2257,-77.9447,52.95,80,75,24.16
262,Ape,LV,57.5393,26.6929,10.51,98,88,4.56
263,Mul,IN,20.0667,79.6667,74.39,57,83,3.4
264,Pitimbu,BR,-7.4706,-34.8086,79.39,78,57,8.19
265,Peniche,PT,39.3558,-9.3811,59.56,85,27,19.24
266,Uch,FR,45.3192,-0.9345,37.29,75,100,17.25
267,Mizdah,LY,31.4451,12.9801,62.19,41,94,6.42
268,Abu Kamal,SY,34.4506,40.9171,55.38,69,0,7.02
269,Eyl,SO,7.9803,49.8164,72.5,80,2,11.54
270,Chute-Aux-Outardes,CA,49.1168,-68.399,30.0,79,86,15.21
271,Namibe,AO,-15.1961,12.1522,67.8,83,54,4.32
272,Monkey Bay,MW,-14.0728,34.9201,76.14,77,100,4.85
273,Abu Samrah,SY,35.3029,37.1841,51.49,84,22,3.58
274,Madimba,TZ,-10.4,40.3333,77.49,86,32,4.05
275,Iguape,BR,-24.7081,-47.5553,67.75,87,0,5.1
276,Coari,BR,-4.085,-63.1414,75.16,89,59,1.74
277,Diffa,NE,13.3154,12.6113,68.38,34,100,9.42
278,Olafsvik,IS,64.8945,-23.7142,24.3,54,99,11.59
279,Sao Joao De Pirabas,BR,-0.7747,-47.1772,75.15,92,100,5.12
280,Nueva Loja,EC,0.0847,-76.8828,70.23,98,95,2.15
281,Darnah,LY,32.767,22.6367,67.39,56,14,13.38
282,Emba,KZ,48.8264,58.1442,12.52,82,32,5.7
283,Dolgoderevenskoye,RU,55.3444,61.3444,1.74,78,40,0.0
284,Sorland,NO,67.667,12.6934,28.26,35,94,11.81
285,Mezen,RU,65.8522,44.24,16.18,89,100,15.01
286,Nienburg,DE,52.6333,9.2167,22.71,93,6,3.24
287,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,67,0,10.36
288,Ceccano,IT,41.5677,13.3333,57.74,92,73,2.91
289,Tazovskiy,RU,67.4667,78.7,10.26,90,100,15.1
290,Tres Passos,BR,-27.4556,-53.9319,66.72,74,44,2.06
291,Jabinyanah,TN,35.035,10.9081,57.0,61,0,12.24
292,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,74.8,81,98,0.92
293,Wukari,NG,7.85,9.7833,69.98,23,36,2.24
294,Afyonkarahisar,TR,38.75,30.6667,48.72,88,100,3.67
295,Shamary,RU,57.3434,58.2199,1.29,100,100,2.98
296,Kensington,AU,-33.9167,151.2167,71.19,49,91,1.01
297,Knysna,ZA,-34.0363,23.0471,67.23,94,100,2.06
298,Sertanopolis,BR,-23.0586,-51.0364,75.27,68,93,2.71
299,Evreux,FR,49.0241,1.1508,30.69,100,20,4.61
300,Lalibela,ET,12.0333,39.0333,52.81,68,6,3.47
301,Alpena,US,45.0617,-83.4327,35.19,99,100,4.61
302,Soligalich,RU,59.0778,42.2864,20.71,93,100,11.63
303,Magole,TZ,-6.3667,37.3667,71.71,91,99,1.72
304,La Serena,CL,-29.9078,-71.2542,60.31,100,75,6.91
305,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.52,79,98,2.21
306,Krasnyy Yar,RU,46.5331,48.3456,22.93,92,92,8.39
